comments,likes,Target
jai samajvad,1,Akhilesh
बीएसपी समर्थक मेरा वोट अखिलेश,259,Akhilesh
aklish yadab jindabad,1,Akhilesh
akhikesh bhaiya tm rajneeti chor dobaklol tmbuddhi ghutne haisb jhoot tm,0,Akhilesh
jay bsp tay bsp,0,Akhilesh
निष्पक्ष पत्रकार बोलने bd हंसी गई।उसको पता वो किसका चाटुकार,6,Akhilesh
jay akilash,0,Akhilesh
jai akhilesh jai yaduvansi,1,Akhilesh
टिकितार्थी,1,Akhilesh
इनको देखा देखा देखा सीएम अखिलेश सच्चा नेता उत्तर प्रदेश अखिलेश नेता कितनों बन जाए चाहे अखिलेश कहां बन पाएगा,35,Akhilesh
tadipar durgandh failayega,0,Akhilesh
akhleshji father karsevak killed appreciated jinnah speech father ladke galti hai party supported terrorists court supreme court interveneyou supported ram mandir openly hooliganismeveteasing peak regimehindus leave kairanathere things not,4,Akhilesh
padha likha admi bat samaj,0,Akhilesh
rozgar app dege,0,Akhilesh
jai samajwaadi jai akhilesh yadav mm,3,Akhilesh
super rajiv ranjan,0,Akhilesh
जय जवान जय किसान जय समाजवाद,56,Akhilesh
yogi sarkar,0,Akhilesh
akhilesh yadav,1,Akhilesh
akhilesh yadav jindabad,5,Akhilesh
guluram kai   voltka kraint,0,Akhilesh
जय अखिलेश,3,Akhilesh
akhileshji winning election future cm,5,Akhilesh
imaandar patrkar,1,Akhilesh
sp win andh bhakts mirchi reading comment,0,Akhilesh
अखिलेश यादव सामने सारी बीजेपी बोनी दिखाई पड़ हैं।,8,Akhilesh
imandar dar bolega medam gusa aa hai dallal media khus,0,Akhilesh
bjp,4,Akhilesh
imandar patrkaar amish desh janta,0,Akhilesh
amish devgan sala godi media,1,Akhilesh
abee sharam tumlog media walo ar girogejhhutho  aayenge akhilesh chhayenge akhilesh,0,Akhilesh
भविष्य प्रधान मंत्री भैया जी।,0,Akhilesh
gullu,0,Akhilesh
jai akhilesh tay akhilesh,4,Akhilesh
भक्तों देख लो पढ़ा लिखा आदमी ऐसी बातें इससे समाज पूरे देश भला है ठरकी बाबा पूछना पावर प्लांट नाम ले ले,34,Akhilesh
yar rojgar mudda dikhta,0,Akhilesh
kath handi chadtishiksha swasthya suraksha mahngai berojgari patrakar kyon baat,0,Akhilesh
single question akhilesh comeback slapped demos wishes sp team,38,Akhilesh
jay akhilesh bhaiya,0,Akhilesh
ग्रेट अनजना,0,Akhilesh
mei school mei padha school mei girls padhti mei army school mei padhta tah,0,Akhilesh
interesting topic watch share,1,Akhilesh
jay akhilesh,1,Akhilesh
neta jindabad,0,Akhilesh
toti chor toti chor,0,Akhilesh
manifesto btao,0,Akhilesh
oweshi मस्जिद जरूरत baba मन्दिर जनता रोजगार शिक्षा स्वास्थ्य,65,Akhilesh
akhilesh yadav bar mukhmanry,31,Akhilesh
imaandar anjana noida kiv nahe,0,Akhilesh
etne imaandar channel imaander anchor dho,4,Akhilesh
jay shah aay adhik sampati jach,0,Akhilesh
sp sp akhilesh yadav zindabad sp akhilesh yadav zindabad sp akhilesh yadav zindabad sp akhilesh yadav zindabad sp akhilesh yadav zindabad sp akhilesh yadav zindabad sp akhilesh yadav zindabad sp akhilesh,9,Akhilesh
cm akhilesh yadav,9,Akhilesh
aapke channel dum ghosana patra   saal huwa bataiye   news update kijiye,0,Akhilesh
बेहतरीन जवाब अखिलेश,40,Akhilesh
toti chor gunda parti khatm,0,Akhilesh
hariyana huupwalo ese educated cm kho dena,1,Akhilesh
भाजपा सारे राजा हरिश्चंद्र बैठे  भाजपा सरकार जाने पता चल पायेगा नहीं,79,Akhilesh
दूसरेकी कमियों सब देखता कमियों देखता दिन कमी देखने लगे लोग दिन सब ठीक जाएगा जय बीजेपीमोदी जोगी प्रधानमंत्री बनेंगेमोदी मुमकिन,0,Akhilesh
jai akhilesh jai samajwad,1,Akhilesh
akhilesh yadav jindabad,25,Akhilesh
sp govt  gundaraaj,0,Akhilesh
chenal bajap virodhi hai,0,Akhilesh
sapne rah jayenge sp jeetegi bjp lion akela kaphy,0,Akhilesh
bjp,0,Akhilesh
ग़ज़ब अखिलेश भईया,0,Akhilesh
निष्पक्ष ईमानदार,47,Akhilesh
kaam intelligent person bina khe,0,Akhilesh
sprashtriya adhyaksh vsbjp cell rashtriya adhyakshaamne saamne,0,Akhilesh
bat akhilesh,0,Akhilesh
पत्रकार महोदय सवाल भाजपा कार्यालय लेकर आये हैं।,40,Akhilesh
प्रश्न  काफिले हमला उत्तर  नहींप्रश्न  घेरकर लाठी डंडे दिखाए,0,Akhilesh
patrakar pass bjp karyalay whatsapp university ques,0,Akhilesh
bjp ayegi dubara,0,Akhilesh
bjp bjp,0,Akhilesh
bjp bmw kangna ranaut,0,Akhilesh
ekant mtlb chilam,0,Akhilesh
tnx,0,Akhilesh
amish devgan pitthu hpura pitthu,0,Akhilesh
ohhh temperature high gya imaandar,0,Akhilesh
मिर्जापुर diaulog याद,2,Akhilesh
सब कार्य किए किए   हार क्यों गए  आपका समाजवाद चला अखिलेश्वर चाचा ।जनता चार बार समाजवादी पार्टी सरकार बनाने अवसर चार बार यानी     योगी बारी जय श्री राम भारत माता जय,3,Akhilesh
जेन सपातो अपराधीयो सहयोग करेगी उससे अमर मणि सहयोग था।,3,Akhilesh
योगी हैं बेहतर है,0,Akhilesh
upyogi,0,Akhilesh
anjana om kashyap mam hatts,0,Akhilesh
जय समाजवाद जय अखिलेश,0,Akhilesh
akhles jindabad,0,Akhilesh
ghanta frk padta haionly yogi,1,Akhilesh
bhut dhoya ptrkaar,0,Akhilesh
jai akhilesh yadav jai shri ram,3,Akhilesh
sp  ahir,0,Akhilesh
saifai program ghanta,0,Akhilesh
samajwadi helicopter mae chalte gareeb cycle mae,1,Akhilesh
jay samajbad,6,Akhilesh
light   unit free dengeagar phir inverter lena padegakisaan dhyan night bharai padegiabhi inko  year do,0,Akhilesh
anjona number dalal,0,Akhilesh
anchor khas party spokesman,0,Akhilesh
jai akhilesh jai parshuram dada,0,Akhilesh
आजमगढ़ सांसद करोना जनता हाल पुछने आये आज बड़ी बड़ी बातें,0,Akhilesh
akhilesh pasand,15,Akhilesh
हर बार बीजेपी सरकार,1,Akhilesh
akhilesh yadav jindabad,0,Akhilesh
jai akhilesh,0,Akhilesh
bjp,0,Akhilesh
patrakar salo nafrat hui akhilesh interview,1,Akhilesh
comment scrolled   mins check comments supporting anjana om kashyap unfortunately find,0,Akhilesh
बड़ी जल्दबाजी पत्रकार साहब जवाब सुनना चाहते,0,Akhilesh
guy akhilesh yadav educated politician youp,237,Akhilesh
godi bhakt anchor,0,Akhilesh
माःश्री मुलायम सिंह यादव जिंदाबाद,0,Akhilesh
godi media imandaar,0,Akhilesh
mja aa,0,Akhilesh
sabka shashan garibo sochalaya garibo light garibo jal awash sadak sabne jat valo bhala jat vikash chillane lage akhilesh akhilesh maja jativad yogi aana,0,Akhilesh
gulf job vacancy freshers india today,0,Akhilesh
mindblowing interview,20,Akhilesh
अलविदा बीजेपी,0,Akhilesh
akhilesh yadav zindabad,1,Akhilesh
biggest joke decade akhilesh nailed,128,Akhilesh
jumla janta bequf aab janta batayegi jantayogi,0,Akhilesh
toty chor chanda gega,1,Akhilesh
yadav simple man love sir,1,Akhilesh
akhilesh,0,Akhilesh
bhaiya samjwadi party kbbhi ayegi,0,Akhilesh
sal azamgarh yadav sapne krishna aaa aapk sarkar sapne bnegi,0,Akhilesh
chunav yogi ji akhilesh aamne saamne muqaabla jaye chunav aitihasik jayega,0,Akhilesh
gjp bejati yr,0,Akhilesh
jay akhilesh,0,Akhilesh
दोस्तों बार मेरा बहुमूल्य वोट सभ्य समझदार युवा पढ़ें लिखे नेता है चाहे मुख्यमंत्री  विधायक चुनाव क्यों लड़ हो। जिसकी नीयत अच्छी हो जिसकी सोच आम लोगों जीवन स्तर ऊपर उठाने हो जिसका मुद्दा आम जनता मुद्दा हो वो नेता सिर्फ बल्कि निरंतर क्षेत्र प्रदेश जनता विकास  कानून व्यवस्था सुधार  महिला बाल विकास सम्मान  बढ़ती मंहगाई बारे  भ्रष्टाचार बारे युवाओं नौकरी रोजगार बारे  घरेलू बिजली बारे सिचाई बारे  शिक्षा नए नए यूनिवर्सिटी कॉलेज बारे  नए नए बेहतरीन अस्पताल बनवाने बारे  व्यवसाय बढावा देने बारे नए नए टेक्नोलॉजी बारे में खेलकूद इन्फ्रास्ट्रक्चर बढावा देने बारे में किसानो मजदूरों खुशहाली समेत तमाम वास्तविक मुद्दों बात लिए,19,Akhilesh
kushawa jee jindabad,0,Akhilesh
gullu janta patrkar hai hass raha atma janti,0,Akhilesh
sarm yadav yad,0,Akhilesh
akhilesh   baat cm ban sakhte tab kirpa ruki,0,Akhilesh
akhilesh haregaa,0,Akhilesh
akhilesh yadav sir zindabad zindabad,0,Akhilesh
waah baat samajwad jeet khusboo aa bhaiyo comments akhilesh sapport l bhakt dikhayi comments,0,Akhilesh
akhilesh yadav,2,Akhilesh
ancory choddiye sir aapko krni kya mithhe mithhe question krre,0,Akhilesh
political leaders akhilesh yadav nailed one long happily watched channel akhilesh damn simply sorted  knowledgeable point  witty  line uttarpradesh janata khushaali chahti  progressive politics chahti hai  march badlaav hoga,72,Akhilesh
modi yogi jhut   sal lekhpal bharthi nikal   lakh rojgar diy bhiy jute desh chalayenge,0,Akhilesh
cm akhilesh yadav,1,Akhilesh
jai akhilesh,0,Akhilesh
akhilesh yadav zindabad,1,Akhilesh
धोया अखिलेश अंजना,0,Akhilesh
joke year आप निष्पक्ष पत्रकार हे,0,Akhilesh
taiyar toanjana chaliye chaliye,1,Akhilesh
video laga godi media positive news dee,0,Akhilesh
ghatiya news riporter,0,Akhilesh
sp zinda,0,Akhilesh
पश्चिमी उत्तर प्रदेश बात करिए अंजना ओम कश्यप वहां योगी घंटा बजाते गोरखपुर मंदिर नजर   मार्च,1,Akhilesh
अगर अंजना इमानदार newton हू,24,Akhilesh
akhelsh yadav jindabad,12,Akhilesh
vi khela hobe  bjp jogi modi jhumla khatam,0,Akhilesh
jhooth bolne se kam nahi chalega spa ak parwarik parti hai pradesh ko aisa shasan se pradesh vikas nahi kar sakta,0,Akhilesh
opposite word n emandar nishpaksh,1,Akhilesh
powerful great young leaders akhilesh yadav,0,Akhilesh
वेसे भारत देश समाजवादी बनाया,0,Akhilesh
bjp,0,Akhilesh
भारतीय जनता पार्टी खिलाफ प्रचार प्रसार,0,Akhilesh
smart man akhilesh give straight answers,175,Akhilesh
dalalmedia imaandar,0,Akhilesh
baki news sach dikhata,1,Akhilesh
जय समाजवाद,1,Akhilesh
jindabad sp,1,Akhilesh
chief minister uttar pradesh,0,Akhilesh
शिक्षित नेता,436,Akhilesh
anjana modi hal ba,0,Akhilesh
sp jindabad,0,Akhilesh
imandar,0,Akhilesh
madam jara jhoot episode ham chuke lata imaandaar,0,Akhilesh
sawaal jawab ni imandaar kehdoyeh chlayenge desh,1,Akhilesh
ईमानदार पत्रकार दिल खुश भैया आपने,98,Akhilesh
hamirpur,0,Akhilesh
sp win,0,Akhilesh
जनता देख ईमानदार चैनल,0,Akhilesh
ksm emandar patrakar anjana,0,Akhilesh
jio,0,Akhilesh
akhilesh yadav zindabad,1,Akhilesh
jay akhilesh,5,Akhilesh
अखिलेश अखिलेश आपने सही उत्तर प्रदेश बदलाव चाहती,2,Akhilesh
sawal jawab bhaiya,0,Akhilesh
akhilesh yadav jindabad jindabad,0,Akhilesh
gullu joker rahoge,0,Akhilesh
राज तिलक तैयारी भगवाधारी   मार्च,0,Akhilesh
sp zindabad,0,Akhilesh
राष्ट्रीय अध्यक्ष जिंदाबाद समाजवादी पार्टी जिंदाबाद,3,Akhilesh
akhilesh yadav jindawad,19,Akhilesh
akkilesh yadv jindabd,1,Akhilesh
jai shree ram,0,Akhilesh
jai akhilesh,0,Akhilesh
हर हर मोदीजी जिन्दाबाद योगी जिन्दाबाद,0,Akhilesh
ब्राम्हण समाज आपके उपयोगी हारने वाला,117,Akhilesh
sochta akhilesh yadav musalman likhkar musalman sabit rahega,0,Akhilesh
abki bhayiyo muaka chukna vikas pade likhe cm lao akhilesh lao,2,Akhilesh
निष्पक्ष पत्रकार कहने अमीश देवगन अचंभित अखिलेश मजा ले,399,Akhilesh
admi gandagi khatam,0,Akhilesh
dalbadlu,0,Akhilesh
akhilesh bhagvaan shri krishna majak ura thein thein,0,Akhilesh
akiles,0,Akhilesh
akhilesh yadav mainu face tumhen badhakar chahie   mahine dene,1,Akhilesh
question news,0,Akhilesh
jalwa kayam usaka nam mulayam,0,Akhilesh
congress bsp agr izzat bachana chahti sp jaay izzat bachi rahegi,0,Akhilesh
aklaish gullu imandhar parwakta bjp kaye modi guru juth bolne,1,Akhilesh
सपा,0,Akhilesh
double income farmers,0,Akhilesh
sp sp akhilesh yadav zindabad sp akhilesh yadav zindabad sp akhilesh yadav zindabad sp akhilesh yadav zindabad sp akhilesh yadav zindabad sp akhilesh yadav zindabad sp akhilesh yadav zindabad sp,0,Akhilesh
imandaar patrakaar award,2,Akhilesh
भाजपा विरोधी चैनल बड़े निक्कमे   पहला वीडीयो वाला पत्रकार दूसरा मानक गुप्ता,0,Akhilesh
jai akhilesh gyi kasyp,5,Akhilesh
अखिलेश यादव जिन्दाबाद,16,Akhilesh
godi media,0,Akhilesh
akhileshji badai,0,Akhilesh
aa akhilesh mission,0,Akhilesh
akhilesh entertainment hain,0,Akhilesh
chatukar ankar,4,Akhilesh
fully godi media chhanel,0,Akhilesh
अखिलेश आपके परफ्यूम बनाने पास करोड़ों पैसा निकला आपकी पार्टी छोटा सा बंदा पास पैसा पार्टी बड़ा आदमी पास होगा अंदाजा लगाना पड़ा मुश्किल कहां आया उतना पैसा,4,Akhilesh
jai akilesh,0,Akhilesh
jai akhilash,0,Akhilesh
ईमानदार पत्रकार आज तक abp indiatv news  बार  पार जय समाजवादी जय अखिलेश यादवराधे राधे,38,Akhilesh
greatest interviews history media confident interviewer bold interviewee,44,Akhilesh
powerful interview akshilesh  knew speak,33,Akhilesh
jai akhilesh,0,Akhilesh
beta akhilesh tujhse,0,Akhilesh
interview aisa,0,Akhilesh
simply briliant,6,Akhilesh
अखिलेश यादव दुर्गा शक्ति नागपाल ias officer मामला याद ना।,2,Akhilesh
akhilesh yadav cm,1,Akhilesh
गोदी मीडिया पत्रकार,0,Akhilesh
akhilesh fan,0,Akhilesh
sp sp akhilesh yadav zindabad sp akhilesh yadav zindabad sp akhilesh yadav zindabad sp akhilesh yadav zindabad sp akhilesh yadav zindabad sp akhilesh yadav zindabad sp akhilesh yadav zindabad sp akhilesh yadav zindabad sp akhilesh yadav,1,Akhilesh
thoko galat word hai mafia welcome,0,Akhilesh
cycle,0,Akhilesh
bat talenge babuwa,0,Akhilesh
anjana om modi bjp spokesperson haibaba mathh wapas bar   cycle,0,Akhilesh
बीच कैसे बात बतंगड़ बना भाई फर्क साफ दाल काला,0,Akhilesh
desh imandar patrakar,2,Akhilesh
yuva pratigya loin bjp walo juto mala leke taiyar jaye,0,Akhilesh
mediam bjp patrkar ban iszat kharab,0,Akhilesh
jai vijay,1,Akhilesh
jago bhio jago modi yogi vote kro plz,0,Akhilesh
akhleash yadav comeady krnea walea neata bn gyea haileakin yh pahla chunaw haiki masjid haikabristan hai,0,Akhilesh
sp jitega,0,Akhilesh
akhilesh kha harvo lgi pure desh dekha,0,Akhilesh
समय जाति पुलिस कप्तान कितने पर्सेंट जिला,0,Akhilesh
arreh bhai apa imaandara ho aslee chiz dikhya video,0,Akhilesh
राजीव रंजन आपका धनबाद अखिलेश यादव इंटरव्यू लिया। भाजपा हार डर इसलिए सब,158,Akhilesh
dhobi pachad,0,Akhilesh
great sir,0,Akhilesh
dish hit bjp,1,Akhilesh
cm sp akhilesh,0,Akhilesh
बाबा,0,Akhilesh
anjana om dard ungli liaror madam america tour bhool india fazihat aai,0,Akhilesh
reporter dint undertsnad taunt imandhaar,0,Akhilesh
अच्छे जवाब दिए,0,Akhilesh
sp sp akhilesh yadav zindabad sp akhilesh yadav zindabad sp akhilesh yadav zindabad sp akhilesh yadav zindabad sp akhilesh yadav zindabad sp akhilesh yadav zindabad sp akhilesh,1,Akhilesh
comments sp sarkar banegi,0,Akhilesh
imandar patrkar bat rgad,0,Akhilesh
ghanta,0,Akhilesh
dalal patrakaro salo   vidhayak sp bjp samjhi bevkoof,1,Akhilesh
yogi upyogi bjp   jai shri ram,8,Akhilesh
jay samajwad,3,Akhilesh
chhapa kewal chhote logo kbhi ambani pr padega ranjan,0,Akhilesh
akhilesh jay,1,Akhilesh
imandarpatrakar,0,Akhilesh
shree akhilesh yadav jhooth hai,18,Akhilesh
yogi sarkaar,2,Akhilesh
गोलू देखो कैसी सीट बैठा,0,Akhilesh
सच्चे ईमानदार अखिलेश,131,Akhilesh
bjp bjp bjp bjp bjp bjp bjp bjp bjp bjp,1,Akhilesh
mulayam singh kha baccho sai galtiya,0,Akhilesh
mst interview,3,Akhilesh
jay akhilesh tay akhilesh,0,Akhilesh
bjp satta paane saam daam dand bhed sabka prayog,0,Akhilesh
aimimup,0,Akhilesh
tumko sarm aaani chahieeee aaapne bh sabd anjana didi niiii bolaaayhi godi mediaaaaaa hmmmmm,1,Akhilesh
akilesh yadaw jindabad dowea,0,Akhilesh
jhoothe sachh ge,0,Akhilesh
चैनल लगभग समय अखिलेश इंटरव्यू  व्यू योगी  व्यू  खुद समझ लो अंतरआ अखिलेश,6,Akhilesh
अबकी बार ट्रम्प सरकार फर्जी डिग्री,0,Akhilesh
akhilesh yadav aa,0,Akhilesh
गुल्लू गोदी मीडिया,0,Akhilesh
question akhilesh,0,Akhilesh
disgusting replies akhileshji,0,Akhilesh
dalal media,1,Akhilesh
yogiji,0,Akhilesh
चुप,0,Akhilesh
akhilesh yadav sp,5,Akhilesh
sapa samay karyakaal bhrastachar orr kanoon vyavastha khrab,0,Akhilesh
tumn jativaad failakar jindagi barbaad,0,Akhilesh
भारत लाेगभारत हर बहूजन ताकत   लाेकतंत्र   नागरिकाें आजादी नागरिकाें हक अधिकारहाथी वाली मजबूत सरकार,0,Akhilesh
imaandar galat bechari naraz gyi imaandar imaandar bezzati isliye naraz,0,Akhilesh
jai akhilesh,3,Akhilesh
imaandar patrakar aap,0,Akhilesh
bjp,0,Akhilesh
bat,0,Akhilesh
interview maza paise wapas anjana huge respect you,15,Akhilesh
बीजेपी जीत जय श्रीराम,0,Akhilesh
bhajapapartibahutbadasatranjipartihai,0,Akhilesh
rajeev ranjan kipatrikarita thheek nispax bar bar ak saval janta muft rasn muft vekseen petrol dam bjp himakat bjp kami suni tv akbaro kami ase ripotro sosal mediya kisan javan beta jwab doge rajeev,0,Akhilesh
corona bhagat dil karuna lao,0,Akhilesh
बिकाऊ मीडिया bjp,0,Akhilesh
लाख दे मोदी जी सपा सही,1,Akhilesh
cm jada jada jada logo beech rehkar saari praja baat sune manniya shri yogi adityanath,0,Akhilesh
akhilesh lao es,0,Akhilesh
शाबास अखिलेश,0,Akhilesh
enke time etna dekhte pta chlta yogi,6,Akhilesh
yakeen   rajiyo bjp buri tarha haar mehngaai nokri milne lagegi kyunk bjp satta jane darr laga rahega bharat bhajpa harao mehngai jay hind jay bharat,1,Akhilesh
rld,2,Akhilesh
समय कांग्रेसी नेता नरेंद्र मोदी बदनाम बार बार नरेंद्र मोदी नाम लेते आज प्रधान मंत्री तुम मेरा नाम बदनाम करोगे लोग हमे उतना पसंद करेंगे ठीक बीजेपी अखिलेश बदनाम करेगी उतना अखिलेश नाम बढ़ता जायेगा,0,Akhilesh
पांच राज्यों चुनाव चल समाजवादी गठबंधन नीतियां लगाएं पूरे भारत देश किसान देख यूपी किसानों खेत खेत पानी घरघर बिजली मुफ्त मिलने जय अखिलेश,1,Akhilesh
अमीश देवगन बार बार अखिलेश यादव ईमानदार कह हैं। वो बकलोल मुस्कुरा जबकि बात मतलब समझ रहा।,0,Akhilesh
pahli bjp srakar aadmi chapa marker akhilesh bhaiya jinda welcome,2,Akhilesh
wahh akhilesh bhaiya jawab,24,Akhilesh
मन्दिर मुद्दा क्यों उठाया मन्दिर फैसला सुप्रीम कोर्ट भाजपा सुप्रीम कोर्ट भाजपा इशारे फैसला देता सुप्रीम कोर्ट स्वतंत्र निकाय,1,Akhilesh
तुमको पता तुम्हारी शादी ईमानदार कहने जरूरत जरूरत जरूरत,0,Akhilesh
aajtakhd चुनाव रिजल्ट सर   महीने इंतजार airforce result आया news कभी इसको दिखाया,4,Akhilesh
akhilesh samaj wadi party jindabad,0,Akhilesh
dial,4,Akhilesh
akhilesh time yu leading election hope request support alot great work development infrastructure   bicycle,146,Akhilesh
yogi,0,Akhilesh
ईमानदार,0,Akhilesh
जय योगी बाबा लोग,1,Akhilesh
adani ambbani dalal tv chanal yaad,0,Akhilesh
abki bar sp sarkar,0,Akhilesh
kah sar,0,Akhilesh
akhilesh yadav zindabad,2,Akhilesh
इंजीनियर बिल्डिंग बना तांत्रिक,18,Akhilesh
answer question askednot express view many,1,Akhilesh
imandar patrakar samajh samajh samajh aa samajh gayee,0,Akhilesh
excellent job aklash,3,Akhilesh
akhlesh yadav ache,0,Akhilesh
बीजेपी,0,Akhilesh
अखिलेश रथ पीछे बाइक चार लोग बैठे नजर रहें,5,Akhilesh
ईमानदार पत्रकार,9,Akhilesh
अबकी बार बसपा सरकार,0,Akhilesh
बोला  सब सही बोला यादव ।।,0,Akhilesh
shahe kha,0,Akhilesh
amish devgan शर्म करो दलाली बन्द,0,Akhilesh
godi mediaakelesh bhaiya zindabad,0,Akhilesh
poocho news bjp pesa fa yugi,0,Akhilesh
akhilesh jay ho vijay ho,0,Akhilesh
ies samy arjun abimanyu kud akhilesh,0,Akhilesh
anjana om kashyapimandar,0,Akhilesh
mirchi lagi sach mirchi lagi,0,Akhilesh
bjp satta paane,0,Akhilesh
isiliye bachpan parents education hmko force hain fark educated akhilesh ahankaari yogi baba communication skills me,56,Akhilesh
jay akhilesh yadav,6,Akhilesh
jaisalmer nathali mukhymantri,0,Akhilesh
samaj wade karm desh janta,0,Akhilesh
गुल्लू गुल्लू कालू,1,Akhilesh
anjana om mo maf kijiyega kashyap imaandar shaq nahi akhilesh bhaiya,0,Akhilesh
अखिलेश यादव गोल गोल बाते सीधी सीधी बात,0,Akhilesh
jay akhilesh,0,Akhilesh
gaganyan mission bhej akhilesh jii,0,Akhilesh
akhilesh jhhuth lete padhe likhe chhape maari proses gae pahuch gae,0,Akhilesh
achar sahita gyi dikha,1,Akhilesh
patrakar ker sirf mandir baat development baat,0,Akhilesh
me akhilesh yadav,5,Akhilesh
kichad phooljay jay itar phool  aayega samajwadi phool,14,Akhilesh
maza aa akhilesh jii my favorite song leli,27,Akhilesh
gullu bjp star campaigner,0,Akhilesh
cm universe yogi jee,1,Akhilesh
ayega akhilesh,20,Akhilesh
imandaar patrkar remind song kehke,4,Akhilesh
akhilesh yadav,0,Akhilesh
अंजना ओम मोदी योगी सरकार गुलामी क्यों,0,Akhilesh
मोदोजी योगी भारत जनता शुभकामनाएं आपको बधाई आदरणीय योगी भाई साहब राम राज्य सरकार भारत जनता शुभकामनाएं आपको,7,Akhilesh
jay maharastra bar bar shri sharad pawar saheb nam ata,0,Akhilesh
sarkar sirph rojgar hindu muslim,0,Akhilesh
nice interview,2,Akhilesh
toti chor zindabad,3,Akhilesh
akhilesh cm,6,Akhilesh
अखिलेश सवाल खुद सवाल बीजेपी सारे सवाल धागे खुद खुद सवाल पापा कह वही बोल,4,Akhilesh
पढ़ा लिखा नियत अच्छा व्यक्ति यूपी चला हैंदुर्भाग्य गुण योगी,64,Akhilesh
jai bheem sir,0,Akhilesh
अबकी बार अखिलेश सरकार,1,Akhilesh
माहौल भाजपा पक्ष,0,Akhilesh
rajiv himmat daag dena padega sochna yadav hu himmat daad,0,Akhilesh
onley akhilesh yadav jindabad,0,Akhilesh
onli sp,0,Akhilesh
imandar patrakar amish debgan,0,Akhilesh
चंदा निंदा चंदा बना धंदा धन्यवाद अखिलेश यादव,31,Akhilesh
sbse nishpaksh patrakar,2,Akhilesh
अखिलेश जीत,0,Akhilesh
bjp jindabad aayegi bjp,0,Akhilesh
करोड़ रोजगार बोला बोल हमने   करोड़ रोजगार दिए,0,Akhilesh
vote bjp,0,Akhilesh
akhilesh saved gst surviving terrorist miscreants robbery,0,Akhilesh
excellent job,0,Akhilesh
अखिलेश यादव आपने खूब छकाया बोलती बंद,0,Akhilesh
sc st obc minority sarkar sp,0,Akhilesh
dislikes dikha,0,Akhilesh
anjana immandar amish wah akhilesh channel interview sachmuch smartest leader hai,2,Akhilesh
imandar patrakaar anjana om modi fuk,0,Akhilesh
jai akhilesh,2,Akhilesh
jay akhilesh tay akhilesh,2,Akhilesh
तेरी,0,Akhilesh
अखिलेश उनसे पूछे चौराहे मिलेगे जनता इंतजार,0,Akhilesh
anjana om modi imandar kashef,0,Akhilesh
ahilesh yadav jindabaad,3,Akhilesh
love akhilesh yadav samajwadi party,9,Akhilesh
